age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
31,Private,160528,Some-college,12,Separated,Prof-specialty,Not-in-family,White,Female,62,18,52,United-States,<=50K
27,Self-emp-not-inc,81084,Bachelors,9,Married-civ-spouse,?,Other-relative,Black,Male,74,-16,35,United-States,<=50K
32,Private,150856,HS-grad,13,Never-married,Prof-specialty,Wife,Other,Female,-121,22,40,United-States,<=50K
55,Private,55791,Some-college,6,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,250,15,49,United-States,<=50K
65,Self-emp-inc,36747,Bachelors,9,Never-married,Farming-fishing,Husband,White,Male,-365,23,40,United-States,<=50K
54,Private,37608,Assoc-voc,9,Divorced,Machine-op-inspct,Husband,White,Male,-47,16,41,United-States,<=50K
26,Local-gov,220350,11th,13,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,1719,15,39,United-States,<=50K
68,State-gov,150178,5th-6th,15,Never-married,Craft-repair,Husband,White,Male,42,-5,57,United-States,<=50K
52,Private,66750,HS-grad,13,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,41,3,40,United-States,<=50K
35,Private,51337,Some-college,9,Divorced,Craft-repair,Own-child,White,Male,-48,13,48,United-States,>50K
54,Federal-gov,312774,HS-grad,-1,Never-married,Prof-specialty,Not-in-family,White,Male,-286,21,40,United-States,<=50K
54,Private,41999,HS-grad,9,Divorced,Other-service,Husband,White,Male,-139,22,46,United-States,>50K
37,Private,57473,Assoc-voc,1,Never-married,Sales,Husband,White,Male,244,22,47,United-States,>50K
45,Private,164143,Assoc-acdm,10,Divorced,Adm-clerical,Not-in-family,White,Male,-69,3,41,United-States,>50K
31,Private,110393,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,213,13,50,United-States,>50K
29,Private,189332,HS-grad,9,Never-married,Prof-specialty,Husband,White,Male,-6,17,37,United-States,>50K
28,Private,119488,HS-grad,9,Married-spouse-absent,Transport-moving,Husband,Asian-Pac-Islander,Male,-109,13,32,United-States,<=50K
52,Private,77282,HS-grad,10,Never-married,Craft-repair,Wife,White,Male,9,26,40,United-States,>50K
39,Private,90915,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,377,4,41,United-States,<=50K
37,Private,133243,Some-college,1,Never-married,Other-service,Wife,White,Male,407,24,40,Japan,<=50K
