age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,Private,123855,HS-grad,10,Never-married,Transport-moving,Unmarried,White,Male,-103,-7,39,United-States,<=50K
36,Private,398370,Prof-school,9,Never-married,?,Husband,Asian-Pac-Islander,Male,5089,15,40,United-States,>50K
38,Private,110671,7th-8th,14,Never-married,?,Wife,White,Female,-101,-16,39,United-States,<=50K
31,Private,436277,Some-college,10,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,131,10,39,United-States,<=50K
39,?,144020,Some-college,10,Married-civ-spouse,Craft-repair,Unmarried,White,Male,-293,-13,42,United-States,<=50K
31,?,252214,HS-grad,7,Never-married,Other-service,Husband,White,Female,224,-19,40,United-States,<=50K
22,State-gov,212631,Bachelors,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,107,-21,9,United-States,<=50K
42,Private,54720,Bachelors,10,Married-civ-spouse,Sales,Own-child,White,Male,345,1,27,United-States,>50K
40,Private,359432,Bachelors,9,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,47,-21,40,Mexico,<=50K
48,Private,146033,Assoc-acdm,9,Never-married,Craft-repair,Other-relative,White,Female,-255,-3,61,United-States,<=50K
19,Private,194943,Some-college,15,Married-civ-spouse,Other-service,Not-in-family,White,Male,34,-12,39,United-States,<=50K
38,Local-gov,162198,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Male,20,-15,111,United-States,<=50K
35,Private,16337,Some-college,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,126,-1,41,United-States,<=50K
23,Self-emp-not-inc,218415,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,-11,40,United-States,<=50K
18,Without-pay,145125,Assoc-acdm,10,Never-married,Sales,Wife,White,Male,-165,6,50,United-States,<=50K
39,State-gov,172527,Assoc-voc,7,Never-married,Tech-support,Unmarried,White,Female,-302,5,40,United-States,>50K
29,?,201425,HS-grad,10,Never-married,?,Not-in-family,White,Male,169,-11,39,United-States,<=50K
59,Private,357048,10th,9,Divorced,Craft-repair,Own-child,White,Male,361,-6,16,United-States,<=50K
18,Private,221920,Some-college,9,Never-married,Armed-Forces,Own-child,White,Female,-344,-23,40,United-States,<=50K
25,Private,444973,Some-college,8,Separated,Handlers-cleaners,Not-in-family,Black,Female,30,-19,40,United-States,<=50K
