age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,Private,421377,Some-college,13,Married-civ-spouse,Prof-specialty,Unmarried,Black,Female,-62,-23,39,United-States,>50K
23,Private,208079,12th,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,-19,39,United-States,>50K
48,Federal-gov,41734,Bachelors,14,Divorced,Prof-specialty,Wife,White,Male,312,1,40,Dominican-Republic,<=50K
29,Private,223347,Assoc-voc,11,Never-married,?,Own-child,White,Male,371,1,39,United-States,<=50K
50,Private,330528,11th,9,Never-married,Sales,Own-child,White,Male,258,4,40,United-States,<=50K
27,Private,506053,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,188,16,39,United-States,<=50K
29,Private,427182,7th-8th,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,136,-20,-5,United-States,>50K
47,Private,109428,HS-grad,5,Separated,Exec-managerial,Husband,White,Female,471,4,53,United-States,<=50K
22,Private,535937,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,359,1399,46,United-States,<=50K
28,Private,109288,12th,11,Married-civ-spouse,Armed-Forces,Wife,White,Male,188,0,3,United-States,<=50K
64,Private,251789,Bachelors,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,-50,4,-2,United-States,<=50K
34,Private,335422,Some-college,5,Married-civ-spouse,Transport-moving,Husband,White,Male,440,16,39,Laos,>50K
37,Self-emp-inc,186182,Assoc-voc,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,491,-15,40,United-States,<=50K
21,Private,93901,Bachelors,10,Never-married,Other-service,Other-relative,White,Female,41,16,-9,Puerto-Rico,<=50K
72,Private,501978,Bachelors,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,337,7,39,United-States,<=50K
42,Private,264198,Some-college,13,Widowed,Other-service,Husband,White,Male,381,0,30,United-States,<=50K
30,Private,196091,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,Black,Female,414,1,39,United-States,<=50K
26,Federal-gov,115815,Assoc-acdm,7,Never-married,Tech-support,Husband,White,Male,-108,-9,39,United-States,<=50K
35,Private,201025,Some-college,13,Never-married,Farming-fishing,Husband,White,Male,261,-12,42,United-States,<=50K
31,Private,148475,Some-college,15,Married-civ-spouse,Craft-repair,Wife,Black,Male,258,-15,39,El-Salvador,<=50K
