age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
12,Private,83397,Bachelors,10,Married-spouse-absent,Exec-managerial,Wife,White,Male,-36,22,40,Greece,<=50K
37,Private,168355,Some-college,13,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,207,2551,31,United-States,<=50K
29,Private,65657,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,295,10,28,?,<=50K
17,Federal-gov,302174,10th,9,Never-married,Adm-clerical,Wife,White,Male,20,13,39,United-States,>50K
22,Federal-gov,73158,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,353,22,39,United-States,<=50K
19,Private,188074,Some-college,9,Married-civ-spouse,?,Husband,White,Female,209,8,50,United-States,<=50K
35,Self-emp-inc,211883,Some-college,10,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,-123,11,40,Haiti,<=50K
28,Private,153000,Masters,5,Divorced,Other-service,Own-child,White,Female,344,14,40,Canada,<=50K
14,Private,113135,Some-college,10,Married-civ-spouse,Transport-moving,Own-child,White,Male,110,15,39,United-States,>50K
19,Private,130107,Some-college,4,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,172,1254,51,United-States,<=50K
21,Private,182152,Some-college,14,Married-civ-spouse,Sales,Husband,White,Male,-69,26,49,United-States,<=50K
23,Private,180102,HS-grad,13,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,419,16,60,United-States,<=50K
19,Self-emp-inc,108253,Some-college,6,Married-civ-spouse,?,Not-in-family,White,Female,455,17,50,United-States,>50K
17,Private,195129,Bachelors,2,Divorced,Prof-specialty,Not-in-family,White,Female,430,4,40,United-States,<=50K
26,Private,144041,Bachelors,10,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,8,21,43,United-States,>50K
19,?,105595,Bachelors,3,Divorced,Craft-repair,Unmarried,White,Male,10033,18,41,United-States,>50K
35,Private,95306,11th,13,Married-civ-spouse,?,Unmarried,White,Male,268,21,40,United-States,<=50K
15,State-gov,72239,HS-grad,10,Divorced,Adm-clerical,Own-child,White,Male,422,6,40,United-States,<=50K
33,Private,168948,Some-college,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,289,22,40,United-States,>50K
19,Private,-23352,Some-college,13,Married-civ-spouse,Craft-repair,Other-relative,White,Female,387,13,40,India,<=50K
